title,provider,category,difficulty,cost,duration,language,source
Ability to Give & Receive Feedback,Edraak,Other,Intermediate,Free,4 hours,Arabic,API_Edraak
UX Research,Edraak,Programming,Beginner,Free,3 hours,Arabic,API_Edraak
Women's Rights,Edraak,Other,Beginner,Free,2 hours,Arabic,API_Edraak
Customer Relationship Management (CRM),Edraak,Business,Beginner,Free,3 hours,Arabic,API_Edraak
Home Design,Edraak,Design,Beginner,Free,1 hours,Arabic,API_Edraak
Selling Smarter,Edraak,Business,Beginner,Free,4 hours,Arabic,API_Edraak
Developing Arabic digital content for the Internet,Edraak,Other,Intermediate,Free,3 hours,Arabic,API_Edraak
Customer Service - Foundational  Skills,Edraak,Business,Beginner,Free,4 hours,Arabic,API_Edraak
Automate your workflow with GitHub Actions,Microsoft Learn,Cloud/DevOps,Intermediate,Free,24 hours,English,API_Microsoft_Learn
Implement a data science and machine learning solution for AI with Microsoft Fabric,Microsoft Learn,Other,Beginner,Free,24 hours,English,API_Microsoft_Learn
Manage Financial Operations with Dynamics 365 Finance,Microsoft Learn,Other,Intermediate,Free,96 hours,English,API_Microsoft_Learn
GitHub Advanced Security,Microsoft Learn,Cloud/DevOps,Intermediate,Free,24 hours,English,API_Microsoft_Learn
Microsoft AI Bootcamp for Educators – Azure AI Fundamentals,Microsoft Learn,Cloud/DevOps,Beginner,Free,24 hours,English,API_Microsoft_Learn
Implement customer service solutions using Microsoft Dynamics 365 Customer Service,Microsoft Learn,Other,Intermediate,Free,96 hours,English,API_Microsoft_Learn
Introduction to Microsoft Power Platform,Microsoft Learn,Other,Beginner,Free,48 hours,English,API_Microsoft_Learn
Develop AI cloud solutions on Azure,Microsoft Learn,Cloud/DevOps,Intermediate,Free,120 hours,English,API_Microsoft_Learn
6.1000 - Introduction to Programming and Computer Science,MIT,Programming,Intermediate,Unknown,12 hours,English,API_FireRoad_MIT
6.100A - Introduction to Computer Science Programming in Python,MIT,Programming,Intermediate,Unknown,6 hours,English,API_FireRoad_MIT
6.100B - Introduction to Computational Thinking and Data Science,MIT,Programming,Intermediate,Unknown,6 hours,English,API_FireRoad_MIT
6.100L - Introduction to Computer Science and Programming,MIT,Programming,Intermediate,Unknown,6 hours,English,API_FireRoad_MIT
6.1010 - Fundamentals of Programming,MIT,Programming,Intermediate,Unknown,12 hours,English,API_FireRoad_MIT
6.1020 - Software Construction,MIT,Programming,Intermediate,Unknown,15 hours,English,API_FireRoad_MIT
6.1040 - Software Design,MIT,Programming,Intermediate,Unknown,15 hours,English,API_FireRoad_MIT
6.1060 - Software Performance Engineering,MIT,Programming,Intermediate,Unknown,18 hours,English,API_FireRoad_MIT
Python Module: Python HOME,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Python Intro,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Python Get Started,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Python Syntax,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Syntax,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Statements,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Code Challenge,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Python Module: Python Output,W3Schools,Programming,Beginner,Free,4 hours,English,Scrape_W3Schools
Real Python: Browse Topics,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: Guided Learning Paths,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: Intermediate,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: algorithms,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: best-practices,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: data-science,Real Python,Data Science,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: data-structures,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Real Python: machine-learning,Real Python,Programming,Beginner,Free,Unknown,English,Scrape_RealPython
Python Topic: Basic Code Example,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: Why Learn Python?,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: Basics,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: Functions,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: Data Structures,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: OOP Concepts,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: Exception Handling,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
Python Topic: File Handling,GeeksforGeeks,Programming,Beginner,Free,5 hours,English,Scrape_GeeksforGeeks
